"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Max Nameplate Output Current (A)","Input Voltage (V)","Maximum Output Power (kW)","Number of Outputs","Maximum Output Cord Length (ft.)","Output Cord Gauge (AWG)","Screen Area, if EVSE has high res display (in2)","Maximum (100%) Measured Luminance of the High Res Display (candelas per m2)","Automatic Brightness Control (ABC) Capable?","Connected Capable","DR Protocol","Connects Using","Protocols Used to Support Smart Charging","Network Security Standards","Is Broadband Internet Connection Needed for Demand Response?","Auxiliary Product Features","Product Features","Network Capability","Network Connection Types Available","No Vehicle Mode Input Power (watts)","No Vehicle Mode Total Allowance (watts)","No Vehicle Mode Power Factor","Partial On Mode Input Power (watts)","Partial On Mode Total Allowance (watts)","Partial On Mode Power Factor","Idle Mode Input Power (watts)","Idle Mode Total Allowance (watts)","Idle Mode Power Factor","Full Current Operation Mode Test: Total Loss (watts)","30 A Operation Mode Test: Total Loss (watts)","15 A Operation Mode Test: Total Loss (watts)","4 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: No Vehicle Mode Input Power (watts)","Dual Input No Vehicle Mode Total Allowance (watts)","Dual Input Level 2: No Vehicle Mode Power Factor","Dual Input Level 2: Partial On Mode Input Power (watts)","Dual Input Partial On Mode Total Allowance (watts)","Dual Input Level 2:  Partial On Mode Power Factor","Dual Input Level 2:  Idle Mode Input Power (watts)","Dual Input Idle Mode Total Allowance (watts)","Dual Input Level 2:  Idle Mode Power Factor","Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts)","Date Available on Market","Date Certified","Markets","CB Model Identifier"
"2683755","EATON CORPORATION","EATON","Green Motion EV Charger","GMEV80CME1-WC","GMEV80CMC1-WC,GMEV80CMC1-WC","786689728694;786689728700","Level 2","80","240","19.2","1","25","6","10.84","280","No","Yes","Open Charge Point Protocol (OCPP)","Wi-Fi,Wired Ethernet","SAE J1772",,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","6.68","9.7","0.39","6.74","9.7","0.38","13.8","41.7","0.48","216","52","25.4","15.4",,,,,,,,,,,,,,"09/29/2023","09/29/2023","United States, Canada","ES_1147229_GMEV80CME1-WC_08112023050800_0000001"
"3417912","EATON CORPORATION","EATON","Green Motion Building Pro","GMEV48CMC1-WC","Green Motion Building Pro,GMEV48CME1-WC","786689728670;786689728687","Level 2","48","240","11.52","1","25","9","10.84","280","No","Yes","Open Charge Point Protocol (OCPP)","Wi-Fi,Wired Ethernet,4G Cellular","SAE J1772",,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","4.64","9.7","0.46","5.05","9.7","0.39","9.72","28.9","0.46","167.2","80","30.3","15.2",,,,,,,,,,,,,,"03/12/2024","03/12/2024","United States, Canada","ES_1147229_GMEV48CMC1-WC_03062024123600_0000001"
"4437353","EcoFlow Inc.","ECOFLOW","EcoFlow PowerPulse EV Charger (9.6kW)","EF-EVAC-9K6-DIY",,,"Level 2","40","240","9.6","1","24","8",,"94.79","No","No",,,,,"No","High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)","None","Yes","Wi-Fi or Gigabit Ethernet,Other LAN (Local Area Network)","5.11","8.14","0.03","5.18","8.14","0.03","7.85","8.14","0.06","4.7","9","7.9","8.1",,,,,,,,,,,,,,"06/06/2025","06/06/2025","United States","ES_1149039_EF-EVAC-9K6-DIY_06062025120000_0000001"
"4481065","EcoFlow Inc.","ECOFLOW","EcoFlow OCEAN EV Charger (11.5kW)","EF-EVAC-11K5",,,"Level 2","48","240","11.52","1","24","8",,"97.79","No","No",,,,,"No","High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Other LAN (Local Area Network)","4.55","8.15","0.03","5.47","8.15","0.03","8.04","8.15","0.05","1,023.5","15.4","10.1","9.3",,,,,,,,,,,,,,"07/23/2025","07/23/2025","United States","ES_1149039_EF-EVAC-11K5_23072025133000_0000001"
"3554621","Elakeview Enterprise LTD.","AA","EVC48A-LV2","EVC48A-LV2",,,"Level 2","48","240","11.52","1","18","8","7.94","265.6","No",,,,,,,"High Resolution Display,Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.15","7.39","0.24","5.21","7.39","0.24","7.84","26.59","0.3","105","49","20","8",,,,,,,,,,,,,,"07/17/2024","07/17/2024","United States, Canada","ES_1148697_EVC48A-LV2_07112024172623_9810602"
"2853516","Electric Avenue Manufacturing","Electric Avenue Manufacturing","EAWPLT48-25WI1HW**","EAWPLT48-25WI1HW**",,,"Level 2","48","240","11.52","1","25","8",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","1.42","6.5","0.22","1.48","6.5","0.23","1.99","25.7","0.22","70.91","58.59","44.13","23.92",,,,,,,,,,,,,,"12/12/2023","12/12/2023","United States, Canada","ES_1149856_EAWPLT48-25WI1HWXX_12122023192110_8956109"
"4005985","Electric Avenue Manufacturing","Electric Avenue Manufacturing","EAWHG248-##WI0PL**","EAWHG248-##WI0PL**",,,"Level 2","40","240","9.6","1","24","8",,,"No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","1.91","6.5","0.07","1.94","6.5","0.07","2.26","22.5","0.07","94","92","13","7",,,,,,,,,,,,,,"03/28/2025","03/28/2025","United States, Canada","ES_1149856_EAWHG2BL_12162024153927_7072412"
"4573289","Electric Avenue Manufacturing","Watti","EAWPE48-######**","EAWPE48-######**",,,"Level 2","96","240","23.04","2","25","8","21.52","120","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.29","7.1","0.36","5.31","7.1","0.36","5.88","26.3","0.37","198.29","83.29","30.85","13.25",,,,,,,,,,,,,,"11/12/2024","11/12/2024","United States, Canada","ES_1149856_EAWPE48-######**_03052026103335_5813257"
"4576991","Electric Avenue Manufacturing","Watti","EAWPG2SL48-####****","EAWPG2SL48-####****",,,"Level 2","48","240","11.52","1","25","8","8.54","120","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","6.47","7.41","0.39","6.55","7.41","0.39","10.88","26.61","0.43","191.61","83.06","28.47","12.2",,,,,,,,,,,,,,"11/12/2024","11/12/2024","United States, Canada","ES_1149856_EAWPG2SL48-####****_03192026092253_2635141"
"4577010","Electric Avenue Manufacturing","Watti","EAWPG2SL80-####****","EAWPG2SL80-####****",,,"Level 2","80","240","19.2","1","25","6","8.54","120","No",,,,,,,"High Resolution Display,Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","6.12","7.41","0.38","6.1","7.41","0.38","10.31","39.41","0.41","338.44","61.5","22.93","11.24",,,,,,,,,,,,,,"01/14/2025","01/14/2025","United States, Canada","ES_1149856_EAWPG2SL80-####****_03192026093413_2301408"
